Words,Devanagari,Root
raamrai,राम्रै, राम्रा
raamro, राम्रो, राम्रा
fohor,फोहोर,फोहोर
xodyo,छोड्यो, छोड्यो
sidhai,सिधै, सिधा
dekhinx,देखिन्छ,देखिन्छ
ramro, राम्रो, राम्रा
siddai,सिधै, सिधा 
vayerw, भएर, भएर
vayera,भएर, भएर
vayeraw,भएर, भएर
vayara,भएर, भएर
vaera, भएर, भएर
vayeraw, भएर, भएर
vayerw,भएर, भएर
bhaera, भएर, भएर
bhayera,भएर, भएर
paryoo, पर्यो, पर्यो
paryo, पर्यो, पर्यो
pariyo, परियो, पर्यो
pareyo, परियो, पर्यो
paurai, पुरै, पुरा
purae, पुरै, पुरा
mildaina,मिल्दैन,मिल्दैन
aauthyo,आउथ्यो,आउथ्यो
koreko,कोरेको,कोरेको
garieko,गरीएको,गरीएको
paaunu,पाउनु,पाउनु
pugne,पुग्ने,पुग्ने
bhannuu,भन्नू,भन्नू
majjaale,मज्जाले,मज्जाले
bhakkhar,भक्खर्,भक्खर्
vakkhar,भक्खर्,भक्खर्
fasiyo,फसियो,फसियो
phasiyo,फसियो,फसियो
laaj,लाज,लाज
laaja,लाज,लाज
lagiyo,लगियो,लगियो
paaekomaa,पाएकोमा,पाएकोमा
paxi,पछी,पछी
pachhi,पछी,पछी
jasto,जस्तो,जस्तो
raixa,रैछ,रैछ
raichha,रैछ,रैछ
hunexa,हुनेछ,हुनेछ
hunexw,हुनेछ,हुनेछ
bhayo,भयो,भयो
vayo,भयो,भयो
bho,भो,भो
aadha,आधा,आधा
pauthiyo,पाउथियो,पाउथियो
mithoooooooooooooo, मिठो, मिठो
mitho, मिठो, मिठो
vandaa, भन्दा, भन्दा
vanda, भन्दा, भन्दा
khuuleko, खुलेको, खुलेको
khuleko, खुलेको, खुलेको
'xaain',छैन, छैन
'xoina',छैन, छैन
'xainw',छैन, छैन
'xain',छैन, छैन
'xhaina', छैन, छैन
'xiana', छैन, छैन
'xaena', छैन, छैन
'xaina',छैन, छैन
lagyo,लाग्यो, लाग्यो
bigreka,बिग्रेका, बिग्रेका
kasari,कसरी, कसरी
tikcha, टिक्छ, टिक्छ
tikxa, टिक्छ, टिक्छ
dekhayar,देखायर, देखायर
dhekako,देखाको,देखाको
ekdamm,एकदम, एकदम
vanda,भन्दा, भन्दा
edkam,एकदम, एकदम
bhayoo,भयो, भयो
bho,भो,भो
akdamai,एकदमै, एकदमै
jasto,जस्तो, जस्तो
raix,रैछ, रैछ
dincha,दिन्छ, दिन्छ
maamu,मामू, मामू
khatra,खत्रा, खत्रा
xyaa,छ्या, छ्या
aayeko,आएको, आएको
dharaiiiiiiiiiiii,धेरै, धेरै
vanda,भन्दा, भन्दा
lagiyo,लगियो, लगियो
aaba,आब, आब
raamro,राम्रो, राम्रो
