raamrai,राम्रै, राम्रा
raamro, राम्रो, राम्रा
bigriyeko,बिग्रिएको, बिग्रेका
fohor,फोहोर,फोहोर
xodyo,छोड्यो, छोड्यो
chhito,छिटो, छिटो
sidhai,सिधै, सिधा
sayad,सायद, सायद
dekhinx,देखिन्छ,देखिन्छ
ramra, राम्रा, राम्रा
xoto, छोटो, छोटो
ramro, राम्रो, राम्रा
ramrari, राम्ररी, राम्रा
xata,छट, छट
xatw, छट, छट
sidai, सिधै, सिधा
sidha, सिधा, सिधा
siddai,सिधै, सिधा 
xito, छिटो, छिटो
sutae,सुते, सुते
swaad, स्वाद,स्वाद
feri,फेरी, फेरी
pheri, फेरी, फेरी
vayerw, भएर, भएर
vayera,भएर, भएर
vayeraw,भएर, भएर
vayara,भएर, भएर
vaera, भएर, भएर
vayeraw, भएर, भएर
vayerw,भएर, भएर
bhaera, भएर, भएर
bhayera,भएर, भएर
paryoo, पर्यो, पर्यो
paryo, पर्यो, पर्यो
pariyo, परियो, पर्यो
pareyo, परियो, पर्यो
paurai, पुरै, पुरा
purae, पुरै, पुरा
puraa,पुरा, पुरा
mildaina,मिल्दैन,मिल्दैन
uthyo,उथ्यो,उठ्यो
laageko,लागेको,लागेको
aauthyo,आउथ्यो,आउथ्यो
koreko,कोरेको,कोरेको
garieko,गरीएको,गरीएको
leraaidiyo,लेराइदियो,लेराइदियो
paaunu,पाउनु,पाउनु
binaa,बिना,बिना
pugne,पुग्ने,पुग्ने
bhannu,भन्नु,भन्नु
bhannuu,भन्नू,भन्नू
banyo,बन्यो,बन्यो
majjaale,मज्जाले,मज्जाले
linus,लिनुस्,लिनुस्
bhakkhar,भक्खर्,भक्खर्
vakkhar,भक्खर्,भक्खर्
fasiyo,फसियो,फसियो
phasiyo,फसियो,फसियो
ligey,लिगेय्,लिगेय्
laaj,लाज,लाज
laaja,लाज,लाज
lagiyo,लगियो,लगियो
paaekomaa,पाएकोमा,पाएकोमा
chindaina,चिन्दैन,चिन्दैन
haalera,हालेर,हालेर
paxi,पछी,पछी
pachhi,पछी,पछी
jasto,जस्तो,जस्तो
uttam,उत्तम्,उत्तम्
raixa,रैछ,रैछ
raichha,रैछ,रैछ
aru,अरू,अरू
aaiepugchha,आईपुग्छ,आईपुग्छ
hunexa,हुनेछ,हुनेछ
hunexw,हुनेछ,हुनेछ
herum,हेरुम्,हेरुम्
karaauxa,काराउछ,काराउछ
niskina,निस्किन,निस्किन
najaawos,नजावोश्,नजावोश्
fulka,फ़ुल्का,फ़ुल्का
nagarda,नगर्दा,नगर्दा
aatdaina,अत्दैन,अत्दैन
uuddaina,ऊद्दैन,ऊद्दैन
barsa,बर्ष,बर्ष
bhayo,भयो,भयो
vayo,भयो,भयो
bho,भो,भो
aadha,आधा,आधा
dhunama,धूनमा,धूनमा
